track_name,artist(s)_name,released_year,key,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2023,B Major,125,80,89,83,31,8,4
LALA,Myke Towers,2023,C# Major,92,71,61,74,7,10,4
vampire,Olivia Rodrigo,2023,F Major,138,51,32,53,17,31,6
Cruel Summer,Taylor Swift,2019,A Major,170,55,58,72,11,11,15
WHERE SHE GOES,Bad Bunny,2023,A Minor,144,65,23,80,14,11,6
Sprinter,"Dave, Central Cee",2023,C# Major,141,92,66,58,19,8,24
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2023,F Minor,148,67,83,76,48,8,3
Columbia,Quevedo,2023,F Major,100,67,26,71,37,11,4
fukumean,Gunna,2023,C# Minor,130,85,22,62,12,28,9
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2023,D Minor,170,81,56,48,21,8,33
un x100to,"Bad Bunny, Grupo Frontera",2023,F# Minor,83,57,56,72,23,27,5
Super Shy,NewJeans,2023,F Minor,150,78,52,82,18,15,7
Flowers,Miley Cyrus,2023,C Major,118,71,65,68,6,3,7
Daylight,David Kushner,2023,D Minor,130,51,32,43,83,9,3
As It Was,Harry Styles,2022,F# Minor,174,52,66,73,34,31,6
Kill Bill,SZA,2022,G# Major,89,64,43,73,5,16,4
Cupid - Twin Ver.,Fifty Fifty,2023,B Minor,120,78,76,59,43,34,3
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023,C Major,78,44,14,9,96,10,3
Classy 101,"Feid, Young Miko",2023,B Major,100,86,67,66,14,12,16
Like Crazy,Jimin,2023,G Major,120,63,36,73,0,36,4
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",2023,F Minor,140,65,87,74,22,42,4
I Can See You (Taylor's Version) (From The),Taylor Swift,2023,F# Major,123,69,82,76,6,6,3
I Wanna Be Yours,Arctic Monkeys,2013,C Minor,135,48,44,42,12,11,3
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2023,F Minor,133,85,81,67,26,12,5
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",2023,C# Major,99,85,83,68,7,36,20
SABOR FRESA,Fuerza Regida,2023,G Minor,130,79,96,86,9,9,9
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2022,B Major,107,80,82,80,43,14,4
MOJABI GHOST,"Tainy, Bad Bunny",2023,F# Minor,122,81,74,71,14,56,4
Last Night,Morgan Wallen,2023,F# Major,204,52,52,68,46,15,4
Dance The Night (From Barbie The Album),Dua Lipa,2023,B Minor,110,67,78,85,2,33,5
Rush,Troye Sivan,2023,F Minor,126,74,35,84,0,11,6
TULUM,"Peso Pluma, Grupo Frontera",2023,F# Major,168,56,63,87,39,11,5
Creepin',"The Weeknd, 21 Savage, Metro Boomin",2022,C# Minor,98,71,17,61,36,8,5
Anti-Hero,Taylor Swift,2022,E Major,97,64,51,63,12,19,5
TQG,"Karol G, Shakira",2023,E Minor,180,72,61,63,67,9,28
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023,C Major,120,81,63,68,11,11,4
Frï¿½ï¿½gil (feat. Grupo Front),"Yahritza Y Su Esencia, Grupo Frontera",2023,F# Major,150,61,39,73,37,11,3
Blank Space,Taylor Swift,2014,F Major,96,75,57,68,9,13,6
Style,Taylor Swift,2014,D Major,95,60,48,79,0,12,4
TQM,Fuerza Regida,2023,F Minor,125,79,96,85,27,11,6
El Azul,"Junior H, Peso Pluma",2023,A Minor,144,56,84,65,23,10,6
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018,D Major,90,76,91,50,54,7,5
I'm Good (Blue),"Bebe Rexha, David Guetta",2022,G Minor,128,56,38,97,4,35,4
See You Again,"Tyler, The Creator, Kali Uchis",2017,F# Major,79,56,58,56,37,11,10
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",2023,C Major,144,77,75,58,52,23,25
Angels Like You,Miley Cyrus,2020,F Major,122,67,49,64,10,10,3
I Ain't Worried,OneRepublic,2022,C Major,140,71,82,81,11,6,5
Die For You,The Weeknd,2016,C# Minor,134,59,51,52,9,15,7
Starboy,"The Weeknd, Daft Punk",2016,G Major,186,68,49,59,16,13,28
Die For You - Remix,"Ariana Grande, The Weeknd",2023,C# Minor,67,53,50,53,23,44,7
El Cielo,"Feid, Myke Towers, Sky Rompiendo",2023,A# Minor,106,72,17,64,7,10,5
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",2023,G Major,128,60,23,91,0,12,3
AMARGURA,Karol G,2023,F# Minor,107,92,55,70,18,15,7
(It Goes Like) Nanana - Edit,Peggy Gou,2023,G Minor,130,67,96,88,12,8,4
Another Love,Tom Odell,2012,E Minor,123,45,13,54,70,9,4
Blinding Lights,The Weeknd,2019,C# Major,171,50,38,80,0,9,7
Moonlight,Kali Uchis,2023,G Minor,137,64,88,72,51,17,5
La Bachata,Manuel Turizo,2022,G Minor,125,84,85,68,58,22,4
S91,Karol G,2023,C Minor,128,86,42,72,59,9,19
cardigan,Taylor Swift,2020,C Minor,130,61,53,58,55,27,4
Tï¿½ï¿,"dennis, MC Kevin o Chris",2023,B Major,130,86,59,96,50,9,5
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2023,F Major,133,70,86,81,25,25,5
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",2022,D Major,101,88,72,59,62,9,3
BESO,"Rauw Alejandro, ROSALï¿½",2023,F Minor,95,77,53,64,74,17,14
Hey Mor,"Ozuna, Feid",2022,C# Minor,98,90,40,59,0,10,29
Yellow,Chris Molitor,1999,B Major,173,43,28,66,0,23,3
Karma,Taylor Swift,2022,G# Major,90,64,10,62,7,48,7
People,Libianca,2022,A# Minor,198,59,71,42,55,10,7
Overdrive,Post Malone,2023,C# Major,140,56,48,73,0,35,4
Enchanted (Taylor's Version),Taylor Swift,2023,G# Major,82,51,22,53,1,15,3
BABY HELLO,"Rauw Alejandro, Bizarrap",2023,C# Minor,130,77,84,89,17,43,5
Heat Waves,Glass Animals,2020,B Major,81,76,53,53,44,9,9
golden hour,JVKE,2022,C# Minor,94,51,14,59,65,25,3
Sweater Weather,The Neighbourhood,2012,A# Major,124,61,41,81,5,10,3
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2022,D Major,128,62,55,78,1,23,4
Viva La Vida,Coldplay,2008,F Minor,138,49,42,62,9,11,3
Here With Me,d4vd,2022,E Major,132,58,27,48,50,12,3
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2022,D Major,131,71,24,47,1,27,9
Yandel 150,"Yandel, Feid",2022,F# Minor,168,78,58,73,5,10,7
CORAZï¿½ï¿½N VA,Maria Becerra,2023,C# Major,98,68,40,79,33,30,6
Riptide,Vance Joy,1975,C# Major,102,48,50,73,43,15,4
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2022,A# Major,101,34,32,57,78,20,3
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2023,F Major,130,63,36,34,76,35,9
Back To December (Taylor's Version),Taylor Swift,2023,D Major,142,50,20,64,1,12,3
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2021,C# Major,170,59,48,76,4,10,5
El Merengue,"Marshmello, Manuel Turizo",2023,G# Minor,124,78,70,68,3,11,4
Someone You Loved,Lewis Capaldi,2018,C# Major,110,50,45,41,75,11,3
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2022,C# Minor,92,91,43,71,9,9,8
Makeba,Jain,2015,D Major,116,82,40,66,39,25,7
MONTAGEM - FR PUNK,"Ayparia, unxbected",2012,A Major,129,63,84,82,70,9,7
Fast Car,Luke Combs,2023,G# Major,98,71,67,60,19,12,3
What It Is (Solo Version),Doechii,2023,C# Minor,172,74,76,76,6,10,9
Coco Chanel,"Bad Bunny, Eladio Carrion",2023,D Major,150,68,14,76,4,10,4
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,2017,A Minor,136,62,19,53,11,6,4
Still With You,Jung Kook,2020,C# Minor,88,53,34,47,9,83,4
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2023,D# Major,143,83,69,44,15,10,33
Say Yes To Heaven,Lana Del Rey,2023,F# Minor,100,49,17,35,71,11,3
Snooze,SZA,2022,F Major,143,56,39,55,14,11,13
Summertime Sadness,Lana Del Rey,2011,C# Minor,112,56,24,66,7,12,3
Take Two,BTS,2023,G Major,93,62,57,59,3,38,3
Lover,Taylor Swift,2012,G Major,206,43,50,55,50,15,10
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",2022,G Minor,88,68,17,71,15,11,5
Chemical,Post Malone,2023,D Major,170,50,37,90,0,12,5
Mockingbird,Eminem,2004,E Minor,84,62,24,67,21,13,28
New Jeans,NewJeans,2023,E Minor,134,81,53,72,51,12,5
Primera Cita,Carin Leon,2022,A# Major,158,54,50,40,61,10,6
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",2017,C# Major,116,80,92,80,4,10,3
Dandelions,Ruth B.,2017,C# Major,117,61,45,69,2,9,3
Bones,Imagine Dragons,2021,F Minor,114,77,65,72,2,7,5
Set Fire to the Rain,Adele,2011,D Minor,108,61,47,68,0,13,3
Money Trees,"Kendrick Lamar, Jay Rock",2012,E Minor,144,74,37,53,7,21,10
Tak Segampang Itu,Anggi Marito,2022,F Major,130,51,18,44,76,11,3
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2023,B Major,116,77,79,62,33,15,3
Mine (Taylor's Version),Taylor Swift,2023,G Major,121,65,49,78,0,17,4
Everybody Wants To Rule The World,Tears For Fears,1985,G Major,112,64,54,81,36,11,6
No Role Modelz,J. Cole,2014,A# Minor,100,70,47,52,30,6,33
Tattoo,Loreen,2023,D# Minor,150,55,30,78,24,12,8
Rara Vez,"Taiu, Milo j",2023,F Minor,120,84,96,71,18,34,17
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",2023,B Minor,127,82,89,85,4,23,6
august,Taylor Swift,2020,F Major,90,51,42,61,53,9,3
LUNA,"Junior H, Peso Pluma",2023,A Minor,128,75,79,63,33,15,4
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2023,A Major,143,64,31,87,4,8,4
Nonsense,Sabrina Carpenter,2022,G# Major,139,74,68,68,3,26,4
Que Vuelvas,"Carin Leon, Grupo Frontera",2022,A# Major,162,49,78,64,19,11,4
Por las Noches,Peso Pluma,2021,C Major,92,81,39,60,31,7,3
Feliz Cumpleaï¿½ï¿½os Fe,Feid,2022,F Major,95,87,57,55,10,29,7
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",2011,D Major,146,63,88,93,3,10,8
Watermelon Sugar,Harry Styles,2019,C Major,95,55,56,82,12,34,5
lovely - Bonus Track,"Billie Eilish, Khalid",2017,E Minor,115,35,12,30,93,10,3
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2023,B Major,128,78,59,65,10,26,5
Queencard,(G)I-DLE,2023,E Minor,130,82,69,83,3,27,5
OMG,NewJeans,2023,A Minor,127,80,74,77,36,11,4
Radio,Lana Del Rey,2011,D Major,150,42,20,86,21,9,9
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2023,D Minor,122,78,50,63,27,9,5
505,Arctic Monkeys,2007,C Major,140,52,20,85,0,7,5
